id,name,address,district,province
1994044,ebisu onsen resort danang,"X299+xq6, Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam, X299+xq6, Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam, Huyện Hòa Vang, Đà Nẵng, Việt Nam",Huyện Hòa Vang,Đà Nẵng
1994147,Centre Point  Danang  Hotel & Residence,"02 Nguyễn Thị Minh Khai, Thạch Thang",Quận Hải Châu,Đà Nẵng
1994186,T. 26 Hotel,"8 Bạch Đằng, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam, Bạch Đằng, Quận Hải Châu, Đà Nẵng, Việt Nam",Quận Hải Châu,Đà Nẵng
1994284,Uri House - Danang Homestay,"84/18 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Việt Nam, 2 Tháng 9, Quận Hải Châu, Đà Nẵng, Việt Nam",Quận Hải Châu,Đà Nẵng
1994398,Rori Beach Apartment,"09, Đường An Thượng 15, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1994465,HH Residence - Serviced Apartment,"97 Đinh Đạt, Phước Mỹ, Sơn Trà, Đà Nẵng 10000, Việt Nam, Đường Đinh Đạt, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994468,Hilton Garden Inn Da Nang,96 Vo Nguyen Giap Street ,Quận Sơn Trà,Đà Nẵng
1994485,Tashi Ocean Hotel & Apartment Da Nang,"62 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng 50000, Việt Nam, Hồ Nghinh, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994700,7 Seven Sea Villa,"98 Loseby, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam, Loseby, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994713,GJ HOTEL BY NEW ERA,"142 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam, Hồ Nghinh, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994724,Saha Casa Boutique Hotel,"10 Morrison, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam, Đường Morrison, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994726,Orchide'es Ocean Hotel,"07 Dương Đình Nghệ, Phước Mỹ Sơn Trà Da Nang City, 550000, Việt Nam, Dương Đình Nghệ, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994734,TGT BEACH HOTEL,"19 D. Đình Nghệ, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam, Dương Đình Nghệ, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994845,Elites Hotel,"187 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam, Hồ Nghinh, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994871,LUNAR HOTEL,"242 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994886,Dana Hotel,"154 Chính Hữu, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Việt Nam, Chính Hữu, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1994995,The Five Villas Đà Nẵng,"Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam, Trường Sa, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995063,LAUREL DANANG APARTMENT,"55 Khuê Mỹ Đông 14, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam, Đường Khuê Mỹ Đông 15, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995121,Hotel Danang L'emore,"366 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam, Võ Nguyên Giáp, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995124,Camellia Family Suites,"115 Bà Huyện Thanh Quan, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam, Bà Huyện Thanh Quan, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995213,KHÁCH SẠN PALAZZO LUXURY ĐÀ NẴNG,"230- 232 - 234 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam, Trần Bạch Đằng, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995241,Langmandi Hotel & Apartment,"99 Đ. Ng. Thì Sĩ, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50000, Việt Nam, An Thượng 5, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995291,Taiyo Hotel & Apartment,"44-46-48 An Thượng 31, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam, Đường An Thượng 31, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1995313,SEN Boutique Villa Apartment,"D8 An Thượng 34, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 55000, Việt Nam, An Thượng 34, Bắc Mỹ Phú, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
2871765,PHUC LONG LUXURY DANANG,"244, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
2871796,Signature by M Village Đà Nẵng Heritage,"8, Lý Thường Kiệt, Thạch Thang, Quận Hải Châu, Đà Nẵng, Việt Nam",Quận Hải Châu,Đà Nẵng
2871797,M Village Tran Phu,"177, Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam",Quận Hải Châu,Đà Nẵng
2919182,Courtyard by Marriott Danang Han River,"No 58 Bach Dang Street, Hai Chau Ward",Quận Hải Châu,Đà Nẵng
2919185,Radisson RED Danang,"90, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
2919211,Signature By M Village Beachfront Hotel,"88, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
2919399,Nesta Celia Đà Nẵng,"254, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
2919446,Hometown BamBoo Prime Villa Da Nang,"13, Ngô Cao Lãng, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
2919501,Bear House ,"200 Võ Nguyên Giáp , Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1920570,Khách sạn Bông Sen,"60, Trần Hưng Đạo, Thành Phố Vị Thanh, Hậu Giang, Việt Nam",Thành Phố Vị Thanh,Hậu Giang
1925849,Ngoc Thu Palace,"78 Đường Lê Duẩn, Phường 3, Sóc Trăng, Lê Duẩn, Thành Phố Sóc Trăng, Sóc Trăng, Việt Nam",Thành Phố Sóc Trăng,Sóc Trăng
1997064,Nông trại Apsara ,"G68v+9m, An Thạnh Nam, Huyện Cù Lao Dung, Sóc Trăng, Việt Nam",Huyện Cù Lao Dung,Sóc Trăng
